YEAR,"GDP per capita, PPP (constant 2021 international $)"
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,3650.673002
1991,3568.258364
1992,3636.771292
1993,3469.580441
1994,3317.807394
1995,3229.124141
1996,3277.794522
1997,3287.370005
1998,3285.23804
1999,3218.463574
2000,3290.705661
2001,3392.035285
2002,3806.215896
2003,3974.767875
2004,4223.797948
2005,4372.975611
2006,4511.639524
2007,4677.541847
2008,4856.812801
2009,5102.916404
2010,5359.518484
2011,5488.004815
2012,5563.641676
2013,5775.866347
2014,5980.191816
2015,5985.094352
2016,5744.557879
2017,5651.734132
2018,5628.740794
2019,5628.177652
2020,5410.693555
2021,5491.700341
2022,5552.83765
2023,5593.056614
2024,5665.451577
