GDP per Capita (current US$),YEAR
93.13700904,1960
97.13752811,1961
104.5324955,1962
107.6757414,1963
113.2973457,1964
117.2872268,1965
124.3824402,1966
99.50149066,1967
97.33720813,1968
121.4366633,1969
224.462936,1970
160.4792558,1971
209.4547763,1972
252.3690325,1973
402.8369998,1974
438.0788139,1975
556.3896877,1976
535.9653078,1977
526.8958529,1978
660.9940409,1979
870.3599347,1980
2162.209954,1981
1821.532655,1982
1207.073746,1983
890.4341063,1984
868.6405405,1985
628.2484537,1986
587.9566134,1987
539.5394684,1988
465.4880895,1989
556.3764491,1990
596.9387957,1991
508.5159057,1992
539.5732023,1993
744.8842472,1994
1271.616174,1995
1632.724694,1996
1720.275409,1997
1822.469985,1998
480.6693639,1999
547.3182989,2000
566.4282318,2001
712.1648521,2002
763.3887454,2003
962.4810419,2004
1211.377035,2005
1599.538916,2006
1815.526975,2007
2154.105435,2008
1820.486339,2009
2202.25673,2010
2418.41317,2011
2633.197347,2012
2872.790834,2013
3088.721313,2014
2585.733607,2015
2070.412734,2016
1876.340271,2017
2057.879446,2018
2265.155209,2019
2019.657063,2020
2017.274865,2021
2139.374785,2022
1596.636961,2023
806.9456951,2024
