Country,Year,GDP per capita_PPP
Algeria,1950,2176
Algeria,1951,2147
Algeria,1952,2193
Algeria,1953,2182
Algeria,1954,2291
Algeria,1955,2303
Algeria,1956,2475
Algeria,1957,2699
Algeria,1958,2740
Algeria,1959,3178
Algeria,1960,3328
Algeria,1961,2868
Algeria,1962,2284
Algeria,1963,2818
Algeria,1964,2879
Algeria,1965,2981
Algeria,1966,2750
Algeria,1967,2907
Algeria,1968,3151
Algeria,1969,3355
Algeria,1970,3585
Algeria,1971,3188
Algeria,1972,3746
Algeria,1973,3757
Algeria,1974,3870
Algeria,1975,4020
Algeria,1976,4157
Algeria,1977,4398
Algeria,1978,4812
Algeria,1979,5088
Algeria,1980,5024
Algeria,1981,4991
Algeria,1982,5145
Algeria,1983,5243
Algeria,1984,5361
Algeria,1985,5469
Algeria,1986,5262
Algeria,1987,5088
Algeria,1988,4850
Algeria,1989,4889
Algeria,1990,4697
Algeria,1991,4708.232
Algeria,1992,4850.223
Algeria,1993,4816.924
Algeria,1994,4856.9854
Algeria,1995,5142.384
Algeria,1996,5451.6343
Algeria,1997,5638.48
Algeria,1998,6069.7773
Algeria,1999,6421.5083
Algeria,2000,6834.5537
Algeria,2001,7218.2456
Algeria,2002,7814.8384
Algeria,2003,8590.178
Algeria,2004,9182.294
Algeria,2005,9969.623
Algeria,2006,10385.779
Algeria,2007,10974.742
Algeria,2008,11475.002
Algeria,2009,11907.021
Algeria,2010,12587.744
Algeria,2011,13204
Algeria,2012,13392.944
Algeria,2013,13508.265
Algeria,2014,13760.384
Algeria,2015,14007.894
Algeria,2016,14198.272
Algeria,2017,14149.915
Algeria,2018,14083.772
Algeria,2019,14000.279
Algeria,2020,13086.293
Algeria,2021,13337.262
Algeria,2022,13506.444
Angola,1950,1677
Angola,1951,1715
Angola,1952,1755
Angola,1953,1795
Angola,1954,1720
Angola,1955,1830
Angola,1956,1769
Angola,1957,1908
Angola,1958,1978
Angola,1959,1953
Angola,1960,1997
Angola,1961,2225
Angola,1962,2128
Angola,1963,2200
Angola,1964,2407
Angola,1965,2544
Angola,1966,2646
Angola,1967,2753
Angola,1968,2665
Angola,1969,2695
Angola,1970,2818
Angola,1971,2754
Angola,1972,2729
Angola,1973,2852
Angola,1974,2727
Angola,1975,1710
Angola,1976,1521
Angola,1977,1500
Angola,1978,1530
Angola,1979,1527
Angola,1980,1532
Angola,1981,1471
Angola,1982,1374
Angola,1983,1288
Angola,1984,1259
Angola,1985,1242
Angola,1986,1106
Angola,1987,1211
Angola,1988,1360
Angola,1989,1360
Angola,1990,1384
Angola,1991,1437.1472
Angola,1992,1389.3295
Angola,1993,1080.4806
Angola,1994,1120.8481
Angola,1995,1319.1589
Angola,1996,1533.9839
Angola,1997,1687.3177
